,Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Date received,Date sent to company,Company response,Timely response?,Consumer disputed?
0,1291006,Debt collection,,Communication tactics,Frequent or repeated calls,TX,76119,3/19/2015,3/19/2015,In progress,Yes,
1,1290580,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,TX,77479,3/19/2015,3/19/2015,Closed with explanation,Yes,
2,1290564,Mortgage,FHA mortgage,"Application, originator, mortgage broker",,MA,2127,3/19/2015,3/19/2015,Closed with explanation,Yes,Yes
3,1291615,Credit card,,Other,,CA,92592,3/19/2015,3/19/2015,In progress,Yes,
4,1292165,Debt collection,Non-federal student loan,Cont'd attempts collect debt not owed,Debt resulted from identity theft,,43068,3/19/2015,3/19/2015,In progress,Yes,
5,1291176,Debt collection,Payday loan,Communication tactics,Called after sent written cease of comm,OH,43068,3/19/2015,3/19/2015,In progress,Yes,
6,1288848,Consumer loan,Installment loan,Managing the loan or lease,,OH,44241,3/18/2015,3/18/2015,Closed with explanation,Yes,Yes
7,1288788,Debt collection,Payday loan,Communication tactics,Called after sent written cease of comm,CA,95124,3/18/2015,3/18/2015,Closed with explanation,Yes,
8,1288324,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,NJ,7067,3/18/2015,3/18/2015,Closed with non-monetary relief,Yes,
9,1288304,Debt collection,Payday loan,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,TX,77433,3/18/2015,3/18/2015,Closed with explanation,Yes,Yes
10,1289772,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Impersonated an attorney or official,ND,58237,3/18/2015,3/18/2015,Closed with explanation,Yes,
11,1288903,Bank account or service,Other bank product/service,Deposits and withdrawals,,RI,2893,3/18/2015,3/18/2015,In progress,Yes,
12,1289633,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,CO,80301,3/18/2015,3/18/2015,Closed with explanation,Yes,
13,1289273,Payday loan,,Can't contact lender,,TX,78205,3/18/2015,3/18/2015,In progress,Yes,
14,1289900,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,UT,84405,3/18/2015,3/18/2015,Closed with non-monetary relief,Yes,Yes
15,1290486,Debt collection,,Disclosure verification of debt,Not given enough info to verify debt,AL,36756,3/18/2015,3/19/2015,In progress,Yes,
16,1289049,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,PA,19140,3/18/2015,3/18/2015,Closed with explanation,Yes,
17,1288962,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,TX,77099,3/18/2015,3/18/2015,Closed with explanation,Yes,
18,1289394,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Used obscene/profane/abusive language,CA,92069,3/18/2015,3/18/2015,Closed with explanation,Yes,
19,1288148,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,NY,10470,3/18/2015,3/18/2015,Closed with explanation,Yes,
